topic,topic_title,category,node,node_id,company,ticker,country,share,products,note,src
hbm,HBM 高頻寬記憶體供應鏈,hw,混合鍵合設備,eq-hybond,EV Group,—,AT,W2W 老牌,W2W 鍵合（與 AMAT）,量產級 W2W,
hbm,HBM 高頻寬記憶體供應鏈,hw,混合鍵合設備,eq-hybond,Applied Materials,AMAT,US,整合製程,表面處理/沉積/CMP 整合,整合式 hybrid bonding,
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,Advantest,6857.T,JP,記憶體 ATE 龍頭,HBM 晶圓級測試（與 FormFactor）,ATE 界 ASML,
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,Teradyne,TER,US,ATE 雙雄(~95%),SoC/記憶體 ATE,HBM/邏輯測試,
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,FormFactor / 旺矽,FORM / 6223.TWO,US,探針卡領先/台廠,DRAM/HBM 晶圓級探針卡,測試介面,
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,DI Corp / UniTest / Techwing,003160.KS / 086390.KQ / 089030.KQ,KR,韓系後段測試,HBM4 wafer tester / burn-in / CubeProber,DI Corp HBM4 wafer tester 準單點,https://www.thelec.net/news/articleView.html?idxno=6186
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,ISC / Leeno,095340.KQ / 058470.KQ,KR,測試座領導,矽橡膠測試座/pogo pin,貼近 Samsung/SK Hynix,
hbm,HBM 高頻寬記憶體供應鏈,hw,測試 / 探針卡 / 測試座,eq-test,力成 PTI / 京元電 KYEC,6239.TW / 2449.TW,TW,封測代工,DRAM/HBM 封測/測試代工,記憶體封測台廠,
hbm,HBM 高頻寬記憶體供應鏈,hw,reflow / 退火 / 翹曲控制,eq-reflow,PSK Holdings,031980.KQ,KR,唯一供三強,mass reflow + descum,準單點,https://www.thelec.net/news/articleView.html?idxno=4859
hbm,HBM 高頻寬記憶體供應鏈,hw,reflow / 退火 / 翹曲控制,eq-reflow,DIT,110990.KQ,KR,雷射退火,雷射退火,HBM3E 起導入、避翹曲,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM DRAM 晶粒製造,f-dram,SK Hynix,000660.KS,KR,領先,1b nm DRAM die + TSV,HBM3E 12-hi/HBM4 16-hi,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM DRAM 晶粒製造,f-dram,Samsung,005930.KS,KR,第二,1c nm DRAM die,垂直整合,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM DRAM 晶粒製造,f-dram,Micron,MU,US,第三,DRAM die + TSV,美系唯一,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM DRAM 晶粒製造,f-dram,CXMT 長鑫存儲,—,CN,潛在新進入者（落後 ~3–4 年）,12 層 HBM3（量產中）/ HBM3 2026 / HBM3E 2027,中國自主、推 ~$42 億 IPO；受美設備管制與無先進 base die 限制，短期難進高階,https://www.financialcontent.com/article/tokenring-2026-1-23-chinas-cxmt-targets-2026-hbm3-production-with-42-billion-ipo
hbm,HBM 高頻寬記憶體供應鏈,hw,邏輯基底晶片 Base Die,f-base,TSMC 台積電,2330.TW,TW,HBM4 base die 主導,N4/N12/N5/N3 base die、C-HBM4E,SK Hynix（4nm/12nm 主流+評估 3nm）/Micron（標準+客製）/NVIDIA；崔泰源 6/4 會魏哲家確保供應,https://www.digitimes.com/news/a20260604VL212/tsmc-hbm4-chairman-sk-group-sk-hynix.html
hbm,HBM 高頻寬記憶體供應鏈,hw,邏輯基底晶片 Base Die,f-base,創意 GUC,3443.TW,TW,客製設計入口,C-HBM4E base die 設計服務,台積電生態系,
hbm,HBM 高頻寬記憶體供應鏈,hw,邏輯基底晶片 Base Die,f-base,Samsung Foundry,005930.KS,KR,唯一自製,4nm logic base die,垂直整合避依賴,
hbm,HBM 高頻寬記憶體供應鏈,hw,晶粒堆疊與鍵合方式,f-stack,SK Hynix (MR-MUF),000660.KS,KR,MR-MUF 路線,Advanced MR-MUF 堆疊,散熱佳、綁 Namics,
hbm,HBM 高頻寬記憶體供應鏈,hw,晶粒堆疊與鍵合方式,f-stack,Micron / Samsung (TC-NCF),MU / 005930.KS,US,TC-NCF 路線,逐層熱壓 NCF,綁 Resonac NCF,
hbm,HBM 高頻寬記憶體供應鏈,hw,晶粒堆疊與鍵合方式,f-stack,"Samsung (Hybrid, 規劃中)",005930.KS,KR,混合鍵合驗證,bumpless Cu-Cu,HBM4 仍 microbump、混合鍵合延至 HBM4E/HBM5；SK hynix P&T7 已規劃 bumpless hybrid bonding 產線（2027 量產）,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM 成品（三強市佔）,f-hbm,SK Hynix,000660.KS,KR,1Q26 ~58%（自 ~62% 略降）；2026 全年估降至 ~43%,HBM3E 12-hi / HBM4 16-hi / HBM4E 48GB 12H,NVIDIA 主供、技術領導；1Q26 市佔約 58%（較先前 ~62% 略降，Samsung/Micron 各約 21% 分食）；2026 全年估再降至 ~43%；Vera Rubin HBM4 配額 ~60–70%；1Q26 創歷史紀錄（營收 52.58 兆韓元首破 50 兆、營業利益 37.61 兆韓元 YoY +405%、營益率 72%）、未來三年客戶 HBM 需求已超過規劃產能；2026/6/18 HBM4E 12H 48GB 樣品提前出貨（16Gbps、耐熱 +17% vs HBM4、Advanced MR-MUF），並評估改用 TSMC 3nm logic die 反超 Samsung,https://www.astutegroup.com/news/general/sk-hynix-holds-62-of-hbm-micron-overtakes-samsung-2026-battle-pivots-to-hbm4/
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM 成品（三強市佔）,f-hbm,Samsung,005930.KS,KR,1Q26 ~21%（被 Micron 並列/超越）／Vera Rubin HBM4 ~25–30%、年底估升至 ~30%,HBM3E 12-hi / HBM4 36GB / HBM4E 12H,唯一 foundry+memory+封裝整合；現貨 bit 市占自 41% 崩落至 ~21% 退居第三，靠 HBM4 大反攻重返一線——2026/1-2 月通過 Nvidia 與 AMD HBM4 最終認證（1c 製程達 11.7Gbps、超越 10Gbps 要求）、2 月起量產供貨 Rubin，分析師估 HBM4 市占由 HBM3E 世代低雙位數升至 2026 年底約 30%；2026/5/30 出貨業界首批 HBM4E 樣品（3.6TB/s、16Gbps，宣稱領先約半年）,https://www.financialcontent.com/article/tokenring-2026-2-5-samsung-stages-massive-ai-comeback-as-hbm4-passes-nvidia-verification-for-rubin-platform
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM 成品（三強市佔）,f-hbm,Micron,MU,US,1Q26 ~21%（超越 Samsung 升第二）,HBM3E（供 NVIDIA）/HBM4 12H/16H（48GB）,美系唯一、押架構創新；Counterpoint 1Q26 bit 市占與 Samsung 並列 21%、正式超車三星；HBM4 16-hi 48GB 已送樣、速度 >11Gbps；FY26 Q2 營收 guide ~$18.7B（遠超共識 $14.2B），分析師（Rosenblatt）稱已從落後者升為 HBM4 領導競爭者；HBM4E base die 改委由 TSMC、2027 量產,https://www.cnbc.com/2026/03/18/micron-mu-q2-earnings-report-2026.html
hbm,HBM 高頻寬記憶體供應鏈,hw,AI 加速器 / 終端需求,d-ai,NVIDIA,NVDA,US,HBM >60% 消耗,"Rubin (288GB HBM4×8, ~22TB/s) / Rubin Ultra (HBM4E)",需求節奏定義者,https://oplexa.com/ai-chip-packaging-bottleneck-2026/
hbm,HBM 高頻寬記憶體供應鏈,hw,AI 加速器 / 終端需求,d-ai,AMD,AMD,US,第二大買家,MI400 (432GB HBM4),HBM4 延遲壓出貨,
hbm,HBM 高頻寬記憶體供應鏈,hw,AI 加速器 / 終端需求,d-ai,Broadcom,AVGO,US,ASIC HBM 整合,Google TPU/Meta ASIC + HBM4,ASIC 帶動 HBM +80%,
hbm,HBM 高頻寬記憶體供應鏈,hw,AI 加速器 / 終端需求,d-ai,Google / AWS,GOOGL / AMZN,US,自研 ASIC,TPU / Trainium + HBM,雲端自研需求,
hbm,HBM 高頻寬記憶體供應鏈,hw,矽晶圓,m-wafer,信越 Shin-Etsu,4063.T,JP,全球第一,300mm 高階矽晶圓,龍頭,
hbm,HBM 高頻寬記憶體供應鏈,hw,矽晶圓,m-wafer,SUMCO,3436.T,JP,全球第二,300mm AI 級晶圓,雙雄,
hbm,HBM 高頻寬記憶體供應鏈,hw,矽晶圓,m-wafer,SK Siltron,—,KR,韓系龍頭,300mm 矽晶圓,SK Hynix 同集團,
hbm,HBM 高頻寬記憶體供應鏈,hw,矽晶圓,m-wafer,環球晶 / Siltronic,6488.TWO / WAF.DE,TW,第三/第四,300mm 矽晶圓,前五 ~85%,
hbm,HBM 高頻寬記憶體供應鏈,hw,特用化學 / 光阻 / Slurry,m-chem,Soulbrain,036830.KQ,KR,HBM slurry 雙獨家,HBM CMP slurry/etchant/前驅物,韓系特化龍頭,https://www.businesskorea.co.kr/news/articleView.html?idxno=203197
hbm,HBM 高頻寬記憶體供應鏈,hw,特用化學 / 光阻 / Slurry,m-chem,Dongjin Semichem,005290.KQ,KR,韓系光阻/slurry,ArF/EUV 光阻、HBM slurry,SK Hynix 多元化,
hbm,HBM 高頻寬記憶體供應鏈,hw,特用化學 / 光阻 / Slurry,m-chem,TOK / JSR / Merck,4186.T / — / MRK.DE,JP,光阻四強 ~76%,EUV/ArF 光阻、前驅物,JSR 已 JIC 私有化下市,
hbm,HBM 高頻寬記憶體供應鏈,hw,特用化學 / 光阻 / Slurry,m-chem,DNF / Hansol / DS Techopia,092070.KQ / 014680.KS / —,KR,韓系前驅物,HCDS DRAM/HBM 前驅物,DNF 三星佔營收 >90%、HCDS 在地化核心,
hbm,HBM 高頻寬記憶體供應鏈,hw,MR-MUF / Underfill 材料,m-mruf,Namics (DIC),4631.T,JP,SK Hynix 獨家,MR-MUF 絕緣樹脂/液態底填 LMUF,HBM 鏈最關鍵單點,https://www.3dincites.com/2024/06/why-are-hbm-manufacturers-choosing-liquid-mold-underfill/
hbm,HBM 高頻寬記憶體供應鏈,hw,MR-MUF / Underfill 材料,m-mruf,Nagase ChemteX / Samsung SDI,8012.T / 006400.KS,JP,MUF 第二源/自研,MUF 模封底填料,★打破 Namics「獨家」：SK Hynix 第二源、Samsung 在地化,
hbm,HBM 高頻寬記憶體供應鏈,hw,MR-MUF / Underfill 材料,m-mruf,Henkel,HEN3.DE,EU,替代供應,NCF 底填/underfill,替代供應商,
hbm,HBM 高頻寬記憶體供應鏈,hw,NCF 非導電膜,m-ncf,Resonac 昭和電工,4004.T,JP,NCF 全球龍頭,NCF + TIM,TC-NCF 核心,
hbm,HBM 高頻寬記憶體供應鏈,hw,NCF 非導電膜,m-ncf,Sekisui 積水 / Toray 東麗,4204.T / 3402.T,JP,供應生態,封裝薄膜/高分子 NCF,薄膜材料,
hbm,HBM 高頻寬記憶體供應鏈,hw,EMC 封裝材,m-emc,住友電木 Sumitomo Bakelite,4203.T,JP,全球龍頭,SUMIKON EME 高導熱 EMC,IC 封裝料領導,
hbm,HBM 高頻寬記憶體供應鏈,hw,EMC 封裝材,m-emc,Resonac,4004.T,JP,三強之一,高導熱 EMC（MR-MUF 模封）,散熱 ~1.6×,
hbm,HBM 高頻寬記憶體供應鏈,hw,EMC 封裝材,m-emc,Panasonic,6752.T,JP,三強之一,環氧模封料,EMC 寡占,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM Controller / PHY IP,m-ip,Synopsys,SNPS,US,HBM4 IP 領導,HBM4 Controller+PHY IP,首顆 HBM4 IP 測試晶片,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM Controller / PHY IP,m-ip,Cadence,CDNS,US,HBM4E PHY,HBM4E PHY 12.8GT/s,IP 業務 +22%,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM Controller / PHY IP,m-ip,Rambus,RMBS,US,controller IP,HBM4E controller 16GT/s,C-HBM4E 支援,
hbm,HBM 高頻寬記憶體供應鏈,hw,HBM Controller / PHY IP,m-ip,Marvell / Alphawave(→QCOM) / Eliyan,MRVL / (QCOM) / —,US,custom HBM 陣營,Custom HBM(CHBM) 3nm PHY / NuLink,HBM4E custom HBM 主軸；Alphawave 2025/12 已併入 Qualcomm,
hbm,HBM 高頻寬記憶體供應鏈,hw,微凸塊 / 焊球材料,m-bump,Duksan Hi-Metal,077360.KQ,KR,微焊球 ~70%,微焊球 MSB,近乎單點,https://www.pinpointnews.co.kr/news/articleView.html?idxno=431067
hbm,HBM 高頻寬記憶體供應鏈,hw,微凸塊 / 焊球材料,m-bump,MK Electron,033160.KQ,KR,焊球 #3,HBM 低溫燒結焊球,<150°C、多層熱預算關鍵,
hbm,HBM 高頻寬記憶體供應鏈,hw,微凸塊 / 焊球材料,m-bump,千住金屬 Senju,—,JP,flux 老牌,微焊球 / flux 助焊,日系 flux,
advanced,先進製程（2nm GAA）供應鏈,hw,EUV / High-NA / DUV 微影,eq-litho,ASML,ASML,EU,EUV 100%,NXE / High-NA EXE:5200 / ArFi,2nm 以下無可替代；Q1'26 營收 €8.8B（含 2 台 High-NA 認列）、2026 財測 €36–40B、Q2'26 財測 €8.4–9.0B；TSMC 因成本暫緩 High-NA，ASML 預期首批 High-NA 產品由記憶體/邏輯客戶數月內領跑,https://www.asml.com/en/news/press-releases/2026/q1-2026-financial-results
advanced,先進製程（2nm GAA）供應鏈,hw,EUV / High-NA / DUV 微影,eq-litho,Carl Zeiss SMT,—,EU,光學 sole-source,EUV 反射鏡組 / NA0.55 光學,最隱形單點，無 Zeiss 無 EUV；帳面非上市無『市佔數字』，卻握 EUV 否決權——真正定價權不在 ASML 而在這層,
advanced,先進製程（2nm GAA）供應鏈,hw,EUV / High-NA / DUV 微影,eq-litho,TRUMPF,—,EU,CO₂ 驅動雷射唯一,EUV 30kW CO₂ 驅動雷射,比 Cymer 更上游的 sole-source（第四層）,https://www.pchardwarepro.com/en/ASML-and-the-CO2-laser:-the-hidden-key-to-EUV-lithography/
advanced,先進製程（2nm GAA）供應鏈,hw,EUV / High-NA / DUV 微影,eq-litho,Cymer (ASML),—,US,光源 captive,錫滴 13.5nm LPP 光源,ASML 鎖定光源命脈,
advanced,先進製程（2nm GAA）供應鏈,hw,EUV / High-NA / DUV 微影,eq-litho,Nikon / Canon,7731.T / 7751.T,JP,DUV 寡占（ASML 主導）,浸潤式 ArFi / i-line stepper / NIL,ASML 浸潤式 >60%；Nikon/Canon 替代源,
advanced,先進製程（2nm GAA）供應鏈,hw,蝕刻 Etch,eq-etch,Applied Materials,AMAT,US,蝕刻 ~32%,Sculpta ALE / 介電蝕刻,GAA 成形核心,
advanced,先進製程（2nm GAA）供應鏈,hw,蝕刻 Etch,eq-etch,Lam Research,LRCX,US,蝕刻 ~28%、ALE ~61%,Akara 導體蝕刻 / Flex,原子層蝕刻主力,
advanced,先進製程（2nm GAA）供應鏈,hw,蝕刻 Etch,eq-etch,Tokyo Electron,8035.T,JP,蝕刻 ~15%,Tactras 蝕刻,蝕刻+塗顯雙料,
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,ASM International,ASM.AS,EU,單片 ALD >55%,單片 ALD / Epi 磊晶,GAA 直接受惠,
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,Applied Materials,AMAT,US,沉積龍頭,Endura Trillium ALD / PVD/CVD/Epi,GAA 閘極堆疊；已在多個次世代 GAA 邏輯 ALD 步驟取得 PoR，蠶食 ASM GAA 受惠敘事,https://www.techinvestments.io/p/a-primer-on-the-deposition-market
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,Lam Research,LRCX,US,介電/金屬,ALTUS W ALD / SABRE 電鍍,填充沉積,
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,Kokusai Electric,6525.T,JP,批次 ALD 領導,批次 ALD/LPCVD / 爐管,高深寬比批次薄膜,
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,Wonik IPS / Jusung / Eugene / TES,240810.KQ / 036930.KQ / 084370.KQ / 095610.KQ,KR,韓系 ALD/CVD 在地,ALD/CVD/LPCVD,三星/SK captive 沉積在地源,https://www.bald-engineering.com/
advanced,先進製程（2nm GAA）供應鏈,hw,沉積 CVD/PVD/ALD/Epi,eq-depo,Veeco,VECO,US,Epi/MOCVD,磊晶/MOCVD,化合物/Epi 設備,
advanced,先進製程（2nm GAA）供應鏈,hw,CMP + 離子植入,eq-cmp,Applied Materials,AMAT,US,CMP 第一/植入 ~63%,Reflexion CMP / Varian 植入,平坦化+摻雜雙料,
advanced,先進製程（2nm GAA）供應鏈,hw,CMP + 離子植入,eq-cmp,Ebara 荏原,6361.T,JP,CMP 第二,F-REX300 CMP / 銅電鍍,銅平坦化雙雄,
advanced,先進製程（2nm GAA）供應鏈,hw,CMP + 離子植入,eq-cmp,Axcelis,ACLS,US,植入 ~21%,Purion 高能/高電流植入,GAA 精準摻雜第二源；與 Veeco 合併案 2026/02 股東批准、待中國 SAMR 核准、預計 2026 H2 完成,https://www.prnewswire.com/news-releases/axcelis-stockholders-approve-merger-with-veeco-302680838.html
advanced,先進製程（2nm GAA）供應鏈,hw,CMP + 離子植入,eq-cmp,住友重機 SHI,6302.T,JP,植入第三,中電流離子植入,第三供應源,
advanced,先進製程（2nm GAA）供應鏈,hw,量測 / 檢測,eq-metro,KLA,KLAC,US,製程控制 ~56%,光學/e-beam 檢測 / CD/overlay 量測,良率管理絕對龍頭,
advanced,先進製程（2nm GAA）供應鏈,hw,量測 / 檢測,eq-metro,Lasertec,6920.T,JP,EUV 光罩檢測 ~90%+,ACTIS actinic blank/mask 檢測,唯一商用 actinic（鎖喉）,https://www.oreateai.com/blog/lasertec-the-global-monopoly-in-euv-photomask-inspection/981a881b59881e5650513914c59b6694
advanced,先進製程（2nm GAA）供應鏈,hw,量測 / 檢測,eq-metro,ASML (HMI),ASML,EU,e-beam 檢測領導,multi-beam e-beam 缺陷檢測,原台廠漢微科 Hermes Microvision,
advanced,先進製程（2nm GAA）供應鏈,hw,量測 / 檢測,eq-metro,Onto / AMAT / 日立 High-Tech,ONTO / AMAT / 6501.T,US,利基,光學 CD/薄膜量測 / e-beam / CD-SEM,KLA 外替代源,
advanced,先進製程（2nm GAA）供應鏈,hw,量測 / 檢測,eq-metro,Nova / Park Systems / Bruker,NVMI / 140860.KQ / BRKR,GLOBAL,OCD/AFM,OCD 整合量測 / in-line AFM,Nova=IL OCD領導、Park=KR AFM 全球第一、Bruker=US,
advanced,先進製程（2nm GAA）供應鏈,hw,清洗 / 退火 / 熱製程,eq-clean,SCREEN,7735.T,JP,單片清洗龍頭,SU 系列單片濕式清洗,清洗領導,
advanced,先進製程（2nm GAA）供應鏈,hw,清洗 / 退火 / 熱製程,eq-clean,PSK Inc.,319660.KQ,KR,dry strip 全球領導,乾式去光阻,★319660≠母公司 PSK Holdings 031980（reflow/descum）,
advanced,先進製程（2nm GAA）供應鏈,hw,清洗 / 退火 / 熱製程,eq-clean,Veeco / Mattson,VECO / —,US,退火,雷射/毫秒退火 LSA,GAA 摻雜活化（Mattson 中資）,
advanced,先進製程（2nm GAA）供應鏈,hw,清洗 / 退火 / 熱製程,eq-clean,SEMES,—,KR,韓系最大在地,清洗/塗顯/strip（三星 captive）,三星子公司；沉積廠 Wonik/Jusung 改列 eq-depo,
advanced,先進製程（2nm GAA）供應鏈,hw,清洗 / 退火 / 熱製程,eq-clean,弘塑 / 辛耘,3131.TWO / 3583.TW,TW,台積電在地,濕式清洗/再生晶圓,SoIC 濕清洗強,
advanced,先進製程（2nm GAA）供應鏈,hw,測試 ATE / 探針卡,eq-test,Advantest / Teradyne,6857.T / TER,JP,ATE ~45–48%,V93000 / UltraFLEX,SoC/HBM 測試雙雄,
advanced,先進製程（2nm GAA）供應鏈,hw,測試 ATE / 探針卡,eq-test,FormFactor / Technoprobe,FORM / TPRO.MI,US,探針卡領先,MEMS/垂直探針卡,2nm 晶圓測試,
advanced,先進製程（2nm GAA）供應鏈,hw,測試 ATE / 探針卡,eq-test,旺矽 MPI / 中華精測,6223.TWO / 6510.TW,TW,全球第三/全自製,VPC/MEMS 探針卡/高頻測試板,台廠瞄準 2nm,
advanced,先進製程（2nm GAA）供應鏈,hw,測試 ATE / 探針卡,eq-test,JEM / 穎崴 / 雍智,6855.T / 6515.TW / 6683.TWO,JP,探針卡前三/socket/CP載板,記憶體探針卡 / test socket / CP 載板,JEM+FormFactor+Technoprobe(IT) ~60%,
advanced,先進製程（2nm GAA）供應鏈,hw,光罩寫入機 Mask Writer,eq-maskwriter,IMS Nanofabrication,—,AT,~81.5% (2024),multi-beam EUV 光罩寫入機,Intel 持股、近乎獨佔,https://www.qyresearch.com/news/11750
advanced,先進製程（2nm GAA）供應鏈,hw,光罩寫入機 Mask Writer,eq-maskwriter,NuFlare,—,JP,雙雄之二,e-beam 光罩寫入機,東芝集團、已 TOB 下市,
advanced,先進製程（2nm GAA）供應鏈,hw,光罩寫入機 Mask Writer,eq-maskwriter,JEOL,6951.T,JP,Top5,e-beam 寫入 / CD-SEM,補位,
advanced,先進製程（2nm GAA）供應鏈,hw,設備子系統 / 零組件,eq-subsys,MKS Instruments,MKSI,US,RF 電源第一,RF 電源 / MFC / 真空,設備共同上游,
advanced,先進製程（2nm GAA）供應鏈,hw,設備子系統 / 零組件,eq-subsys,Advanced Energy,AEIS,US,RF >35%(與MKS),電漿電源,電漿電源,
advanced,先進製程（2nm GAA）供應鏈,hw,設備子系統 / 零組件,eq-subsys,Comet,COTN.SW,CH,真空電容/RF 匹配領導,真空電容 / RF 匹配,電漿穩定單點,
advanced,先進製程（2nm GAA）供應鏈,hw,設備子系統 / 零組件,eq-subsys,UCT / Ichor / Ferrotec / ULVAC,UCTT / ICHR / 6890.T / 6728.T,US,子系統,氣體輸送 / ESC / 真空泵,模組外包,
advanced,先進製程（2nm GAA）供應鏈,hw,EDA 工具,f-eda,Synopsys,SNPS,US,EDA ~31%,全流程 EDA + IP + 模擬,2nm signoff 必備,
advanced,先進製程（2nm GAA）供應鏈,hw,EDA 工具,f-eda,Cadence,CDNS,US,EDA ~30%,全流程 EDA / Palladium / IP,設計兩大支柱之一,
advanced,先進製程（2nm GAA）供應鏈,hw,EDA 工具,f-eda,Siemens EDA,SIE.DE,EU,EDA ~13%,Calibre 物理驗證 / Tessent,光罩驗證近標準,
advanced,先進製程（2nm GAA）供應鏈,hw,EDA 工具,f-eda,Ansys / Keysight EDA,(SNPS) / KEYS,US,模擬/RF,多物理模擬 / RF EDA,Ansys 2025/07/17 正式被 SNPS 以 $350 億併入；2026 H1 推出首批 Synopsys-Ansys Multiphysics-Fusion 整合 EDA 工具,
advanced,先進製程（2nm GAA）供應鏈,hw,EDA 工具,f-eda,華大九天 Empyrean,301269.SZ,CN,中國 EDA 龍頭,全流程 EDA（國產替代）,中國 EDA 主力,
advanced,先進製程（2nm GAA）供應鏈,hw,矽智財 IP / 設計服務,f-ip,Arm,ARM,UK,CPU IP 行動 >90%,Cortex/Neoverse CPU IP / CSS,SoC CPU 事實標準；FY26 營收 $4.92B 創高（royalty $2.61B）、hyperscaler CPU 算力佔比達 50%,https://newsroom.arm.com/news/arm-q4-fye26-results
advanced,先進製程（2nm GAA）供應鏈,hw,矽智財 IP / 設計服務,f-ip,Synopsys / Cadence,SNPS / CDNS,US,介面 IP 主導,PCIe/DDR/HBM/SerDes IP,介面 IP 雙雄,
advanced,先進製程（2nm GAA）供應鏈,hw,矽智財 IP / 設計服務,f-ip,晶心 Andes / 力旺 eMemory / M31,6533.TWO / 3529.TW / 6643.TWO,TW,RISC-V/OTP/基礎 IP,RISC-V CPU IP / OTP/NeoPUF / 基礎 IP,力旺過 TSMC N3P；M31 台積 IP 夥伴,
advanced,先進製程（2nm GAA）供應鏈,hw,矽智財 IP / 設計服務,f-ip,創意 GUC / 世芯 Alchip / 智原,3443.TW / 3661.TW / 3035.TW,TW,ASIC 設計服務,2nm ASIC turnkey + IP,雲端自研晶片受惠,
